0	0.117056	0.271291	0.0279527	
0.01	0.118034	0.27174	0.0285205	
0.02	0.120082	0.273004	0.0294324	
0.03	0.122904	0.274719	0.0298964	
0.04	0.126372	0.276585	0.0304696	
0.05	0.130565	0.278247	0.0306729	
0.06	0.135412	0.279588	0.030473	
0.07	0.140692	0.280291	0.0297962	
0.08	0.146151	0.280137	0.0289979	
0.09	0.151886	0.279457	0.0281152	
0.1	0.157921	0.278234	0.027177	
0.11	0.164346	0.276549	0.026473	
0.12	0.170889	0.274277	0.0259834	
0.13	0.177257	0.271193	0.0256149	
0.14	0.183437	0.267263	0.025378	
0.15	0.189452	0.262451	0.025169	
0.16	0.194965	0.257512	0.0248017	
0.17	0.198562	0.256495	0.0238369	
0.18	0.201422	0.255946	0.0230359	
0.19	0.203725	0.255254	0.0223719	
0.2	0.205039	0.255074	0.022064	
0.21	0.206365	0.255069	0.0217745	
0.22	0.207625	0.255149	0.02154	
0.23	0.208807	0.255375	0.0214008	
0.24	0.209915	0.255751	0.0213528	
0.25	0.21134	0.25593	0.0209407	
0.26	0.212891	0.25608	0.0205941	
0.27	0.21446	0.256261	0.0203784	
0.28	0.216106	0.256504	0.0201952	
0.29	0.217815	0.256811	0.0200447	
0.3	0.21963	0.256736	0.0200049	
0.31	0.221496	0.256639	0.0199221	
0.32	0.223337	0.257301	0.0198291	
0.33	0.225161	0.258009	0.0198379	
0.34	0.226958	0.258793	0.0199385	
0.35	0.228804	0.259443	0.020018	
0.36	0.230735	0.260091	0.0200782	
0.37	0.232661	0.260798	0.0201846	
0.38	0.234564	0.261579	0.0203398	
0.39	0.236456	0.262423	0.0205366	
0.4	0.238335	0.263253	0.0207696	
0.41	0.240341	0.263769	0.0209181	
0.42	0.24248	0.264312	0.0209762	
0.43	0.244637	0.264868	0.0210513	
0.44	0.246802	0.265428	0.0211381	
0.45	0.248982	0.265979	0.0212305	
0.46	0.251179	0.26651	0.0213237	
0.47	0.253396	0.267011	0.0214135	
0.48	0.255638	0.267475	0.0214957	
0.49	0.257909	0.267881	0.0215608	
0.5	0.260213	0.268228	0.0216092	
0.51	0.26255	0.268511	0.0216383	
0.52	0.264922	0.268721	0.0216442	
0.53	0.267334	0.268856	0.0216251	
0.54	0.269757	0.268941	0.0215953	
0.55	0.272224	0.268936	0.021533	
0.56	0.27474	0.26883	0.0214342	
0.57	0.277306	0.268613	0.0212959	
0.58	0.279923	0.268278	0.0211162	
0.59	0.282594	0.267821	0.0208929	
0.6	0.2853	0.267262	0.0206371	
0.61	0.288044	0.266597	0.0203467	
0.62	0.290831	0.265854	0.0200085	
0.63	0.293667	0.264916	0.0196304	
0.64	0.29662	0.26369	0.019159	
0.65	0.299661	0.262262	0.0186164	
0.66	0.302782	0.260614	0.0180038	
0.67	0.305983	0.258726	0.0173197	
0.68	0.309262	0.256563	0.0165602	
