0	2.41037e-06	2.07306e-07	-1.5708	8.40267e-07	-5.86426e-06	-1.06267e-06	-1.5708	-1.34769e-07	5.60016e-06	-1.08287e-06	1.5708	1.36258e-07	-1.98713e-06	7.94141e-07	1.5708	1.461e-07	1.6329e-06	9.66176e-07	
0.01	-0.00677184	0.0776721	-1.53999	0.072765	-0.00773599	0.000553219	-1.52811	-0.0198362	0.0206313	-0.056749	1.5467	-0.0188397	-0.000172511	-0.0103261	1.5241	0.0326739	-0.000312545	0.00712231	
0.02	-0.0131547	0.14728	-1.51253	0.13872	-0.014534	0.000497629	-1.49059	-0.0368825	0.0385927	-0.106977	1.52537	-0.035626	0.000128122	-0.0207321	1.48226	0.063085	-0.0155125	0.00567255	
0.03	-0.0190095	0.209793	-1.48808	0.19844	-0.020514	-0.000109147	-1.45766	-0.0514524	0.0541817	-0.151405	1.50647	-0.050555	0.000872598	-0.0312261	1.44472	0.0915574	-0.0282887	-0.0148564	
0.04	-0.0242414	0.266062	-1.46633	0.252502	-0.0257767	-0.00121506	-1.4288	-0.0638257	0.067664	-0.190669	1.48972	-0.0638072	0.00202768	-0.0418108	1.41099	0.11836	-0.0389068	-0.0356777	
0.05	-0.0287886	0.316825	-1.447	0.30146	-0.0304103	-0.00277378	-1.40354	-0.0742507	0.0793423	-0.225364	1.4749	-0.0755598	0.00358551	-0.0525055	1.38062	0.143778	-0.047599	-0.0537611	
0.06	-0.0326152	0.36272	-1.4298	0.345832	-0.0344928	-0.00474402	-1.38147	-0.0829485	0.089385	-0.255969	1.46175	-0.0859337	0.00549966	-0.0632967	1.35322	0.16797	-0.0545758	-0.0693846	
0.07	-0.0357162	0.404296	-1.41449	0.386097	-0.0380922	-0.00708812	-1.36223	-0.090117	0.0979844	-0.282924	1.45009	-0.0950542	0.00777394	-0.0742044	1.32845	0.191181	-0.0600236	-0.0828109	
0.08	-0.0381037	0.442028	-1.40086	0.422687	-0.0412685	-0.00977224	-1.34549	-0.0959324	0.105316	-0.306624	1.43974	-0.103037	0.0103937	-0.08523	1.30599	0.21358	-0.0641047	-0.0942773	
0.09	-0.0398041	0.476322	-1.38868	0.455986	-0.0440741	-0.0127662	-1.33097	-0.100552	0.111538	-0.327423	1.43056	-0.109982	0.0133407	-0.0963726	1.28559	0.235308	-0.0669616	-0.104009	
0.1	-0.040947	0.507355	-1.37781	0.486157	-0.0465551	-0.0159166	-1.31836	-0.104222	0.116849	-0.34568	1.42241	-0.116016	0.0164689	-0.107353	1.2671	0.256097	-0.0688767	-0.112279	
0.11	-0.0414795	0.535624	-1.36807	0.513699	-0.0487513	-0.019338	-1.30749	-0.10695	0.121313	-0.361634	1.41517	-0.121188	0.0199189	-0.118486	1.2502	0.276512	-0.069797	-0.119151	
0.12	-0.0414508	0.561379	-1.35932	0.53887	-0.0506982	-0.0230065	-1.29818	-0.108852	0.125041	-0.375532	1.40874	-0.125571	0.0237042	-0.129776	1.23471	0.296694	-0.0698276	-0.124762	
0.13	-0.0409139	0.584834	-1.35144	0.561887	-0.0524268	-0.0269009	-1.29024	-0.110028	0.12813	-0.387593	1.40302	-0.129223	0.027819	-0.14122	1.22045	0.316734	-0.0690621	-0.129236	
0.14	-0.0399118	0.606163	-1.34431	0.582917	-0.0539643	-0.031002	-1.28352	-0.110573	0.130664	-0.398005	1.39794	-0.132197	0.0322776	-0.152824	1.20728	0.336752	-0.0675853	-0.132671	
0.15	-0.0379022	0.62568	-1.33799	0.601549	-0.0553366	-0.0354251	-1.27794	-0.110471	0.132683	-0.406894	1.3934	-0.134491	0.0372616	-0.164893	1.19495	0.357312	-0.0653062	-0.135077	
0.16	-0.0342628	0.64349	-1.33284	0.616785	-0.0638462	-0.0400076	-1.2733	-0.109906	0.134286	-0.414431	1.38937	-0.136168	0.0425779	-0.177091	1.18348	0.377951	-0.0624707	-0.136655	
0.17	-0.0285056	0.659748	-1.329	0.628193	-0.0659484	-0.0447362	-1.26951	-0.108944	0.135546	-0.420784	1.38578	-0.137306	0.048255	-0.189429	1.17275	0.398781	-0.0591371	-0.137484	
0.18	-0.0214011	0.674572	-1.32652	0.635533	-0.0659777	-0.0495987	-1.26645	-0.107644	0.136508	-0.426051	1.38257	-0.137911	0.0543046	-0.201912	1.16267	0.419877	-0.0553578	-0.137635	
